pointId,userId,geom,timestamp,metadata
53759917,11075,POINT(-122.39488 37.75134),1213084687,Empty Taxi
53759918,11075,POINT(-122.39527 37.75136),1213084659,Empty Taxi
53759919,11075,POINT(-122.3946 37.75199),1213084540,Empty Taxi
53759920,11075,POINT(-122.39346 37.7508),1213084489,Empty Taxi
53759921,11075,POINT(-122.39256 37.75015),1213084237,Empty Taxi
53759922,11075,POINT(-122.39227 37.75454),1213084177,Empty Taxi
53759923,11075,POINT(-122.3925 37.75901),1213084172,Empty Taxi
53759924,11075,POINT(-122.39788 37.77053),1213084092,Empty Taxi
53759925,11075,POINT(-122.39382 37.77669),1213084032,Empty Taxi
53759926,11075,POINT(-122.38844 37.78194),1213083971,Empty Taxi
53759927,11075,POINT(-122.38909 37.78999),1213083910,Empty Taxi
53759928,11075,POINT(-122.39609 37.79728),1213083855,Empty Taxi
53759929,11075,POINT(-122.40239 37.79838),1213083811,Empty Taxi
53759930,11075,POINT(-122.40647 37.79779),1213083736,Empty Taxi
53759931,11075,POINT(-122.40646 37.79779),1213083715,Occupied Taxi
53759932,11075,POINT(-122.40521 37.79657),1213083655,Occupied Taxi
53759933,11075,POINT(-122.40471 37.79305),1213083600,Occupied Taxi
53759934,11075,POINT(-122.40405 37.78945),1213083535,Occupied Taxi
53759935,11075,POINT(-122.40859 37.78833),1213083475,Occupied Taxi
53759936,11075,POINT(-122.41527 37.7874),1213083415,Occupied Taxi
