pointId,userId,geom,timestamp,metadata
53759977,11078,POINT(-122.39488 37.75134),1213084687,Empty Taxi
53759978,11078,POINT(-122.39527 37.75136),1213084659,Empty Taxi
53759979,11078,POINT(-122.3946 37.75199),1213084540,Empty Taxi
53759980,11078,POINT(-122.39346 37.7508),1213084489,Empty Taxi
53759981,11078,POINT(-122.39256 37.75015),1213084237,Empty Taxi
53759982,11078,POINT(-122.39227 37.75454),1213084177,Empty Taxi
53759983,11078,POINT(-122.3925 37.75901),1213084172,Empty Taxi
53759984,11078,POINT(-122.39788 37.77053),1213084092,Empty Taxi
53759985,11078,POINT(-122.39382 37.77669),1213084032,Empty Taxi
53759986,11078,POINT(-122.38844 37.78194),1213083971,Empty Taxi
53759987,11078,POINT(-122.38909 37.78999),1213083910,Empty Taxi
53759988,11078,POINT(-122.39609 37.79728),1213083855,Empty Taxi
53759989,11078,POINT(-122.40239 37.79838),1213083811,Empty Taxi
53759990,11078,POINT(-122.40647 37.79779),1213083736,Empty Taxi
53759991,11078,POINT(-122.40646 37.79779),1213083715,Occupied Taxi
53759992,11078,POINT(-122.40521 37.79657),1213083655,Occupied Taxi
53759993,11078,POINT(-122.40471 37.79305),1213083600,Occupied Taxi
53759994,11078,POINT(-122.40405 37.78945),1213083535,Occupied Taxi
53759995,11078,POINT(-122.40859 37.78833),1213083475,Occupied Taxi
53759996,11078,POINT(-122.41527 37.7874),1213083415,Occupied Taxi
